viti,komuna,personeli administrativ,gjinia,Personeli administrativ sipas niveleve
2016/2017,Leposaviq,I mesëm i lartë,Meshkuj,-
2016/2017,Leposaviq,I mesëm i lartë,Femra,-
2016/2017,Leposaviq,I mesëm i lartë,Gjithsej,-
2016/2017,Lipjan,Parashkollor,Meshkuj,2
2016/2017,Lipjan,Parashkollor,Femra,-
2016/2017,Lipjan,Parashkollor,Gjithsej,2
2016/2017,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,38
2016/2017,Lipjan,Fillor dhe i mesëm i ulët,Femra,6
2016/2017,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,44
2016/2017,Lipjan,I mesëm i lartë,Meshkuj,6
2016/2017,Lipjan,I mesëm i lartë,Femra,1
2016/2017,Lipjan,I mesëm i lartë,Gjithsej,7
2016/2017,Malishevë,Parashkollor,Meshkuj,-
2016/2017,Malishevë,Parashkollor,Femra,-
2016/2017,Malishevë,Parashkollor,Gjithsej,-
2016/2017,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,39
2016/2017,Malishevë,Fillor dhe i mesëm i ulët,Femra,7
2016/2017,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,46
2016/2017,Malishevë,I mesëm i lartë,Meshkuj,12
2016/2017,Malishevë,I mesëm i lartë,Femra,4
2016/2017,Malishevë,I mesëm i lartë,Gjithsej,16
2016/2017,Mamushë,Parashkollor,Meshkuj,-
2016/2017,Mamushë,Parashkollor,Femra,-
2016/2017,Mamushë,Parashkollor,Gjithsej,-
2016/2017,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,3
2016/2017,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,3
2016/2017,Mamushë,I mesëm i lartë,Meshkuj,-
2016/2017,Mamushë,I mesëm i lartë,Femra,-
2016/2017,Mamushë,I mesëm i lartë,Gjithsej,-
2016/2017,Mitrovicë,Parashkollor,Meshkuj,2
2016/2017,Mitrovicë,Parashkollor,Femra,8
2016/2017,Mitrovicë,Parashkollor,Gjithsej,10
2016/2017,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,53
2016/2017,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,17
2016/2017,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,70
2016/2017,Mitrovicë,I mesëm i lartë,Meshkuj,23
2016/2017,Mitrovicë,I mesëm i lartë,Femra,8
2016/2017,Mitrovicë,I mesëm i lartë,Gjithsej,31
2016/2017,Novobërdë,Parashkollor,Meshkuj,-
2016/2017,Novobërdë,Parashkollor,Femra,-
2016/2017,Novobërdë,Parashkollor,Gjithsej,-
2016/2017,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2016/2017,Novobërdë,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,4
2016/2017,Novobërdë,I mesëm i lartë,Meshkuj,1
2016/2017,Novobërdë,I mesëm i lartë,Femra,-
2016/2017,Novobërdë,I mesëm i lartë,Gjithsej,1
2016/2017,Obiliq,Parashkollor,Meshkuj,-
2016/2017,Obiliq,Parashkollor,Femra,2
2016/2017,Obiliq,Parashkollor,Gjithsej,2
2016/2017,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,16
2016/2017,Obiliq,Fillor dhe i mesëm i ulët,Femra,8
2016/2017,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,24
2016/2017,Obiliq,I mesëm i lartë,Meshkuj,3
2016/2017,Obiliq,I mesëm i lartë,Femra,-
2016/2017,Obiliq,I mesëm i lartë,Gjithsej,3
2016/2017,Pejë,Parashkollor,Meshkuj,-
2016/2017,Pejë,Parashkollor,Femra,9
2016/2017,Pejë,Parashkollor,Gjithsej,9
2016/2017,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,39
2016/2017,Pejë,Fillor dhe i mesëm i ulët,Femra,24
2016/2017,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,63
2016/2017,Pejë,I mesëm i lartë,Meshkuj,10
2016/2017,Pejë,I mesëm i lartë,Femra,5
2016/2017,Pejë,I mesëm i lartë,Gjithsej,15
2016/2017,Podujevë,Parashkollor,Meshkuj,-
2016/2017,Podujevë,Parashkollor,Femra,4
2016/2017,Podujevë,Parashkollor,Gjithsej,4
2016/2017,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,58
2016/2017,Podujevë,Fillor dhe i mesëm i ulët,Femra,17
2016/2017,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,75
2016/2017,Podujevë,I mesëm i lartë,Meshkuj,5
2016/2017,Podujevë,I mesëm i lartë,Femra,6
2016/2017,Podujevë,I mesëm i lartë,Gjithsej,11
2016/2017,Prishtinë,Parashkollor,Meshkuj,4
2016/2017,Prishtinë,Parashkollor,Femra,24
2016/2017,Prishtinë,Parashkollor,Gjithsej,28
2016/2017,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,54
2016/2017,Prishtinë,Fillor dhe i mesëm i ulët,Femra,64
2016/2017,Prishtinë,Fillor dhe i mesëm i ulët,Gjithsej,118
2016/2017,Prishtinë,I mesëm i lartë,Meshkuj,43
2016/2017,Prishtinë,I mesëm i lartë,Femra,20
2016/2017,Prishtinë,I mesëm i lartë,Gjithsej,63
2016/2017,Prizren,Parashkollor,Meshkuj,-
2016/2017,Prizren,Parashkollor,Femra,-
2016/2017,Prizren,Parashkollor,Gjithsej,-
2016/2017,Prizren,Fillor dhe i mesëm i ulët,Meshkuj,73
2016/2017,Prizren,Fillor dhe i mesëm i ulët,Femra,26
2016/2017,Prizren,Fillor dhe i mesëm i ulët,Gjithsej,99
2016/2017,Prizren,I mesëm i lartë,Meshkuj,24
2016/2017,Prizren,I mesëm i lartë,Femra,12
2016/2017,Prizren,I mesëm i lartë,Gjithsej,36
2016/2017,Rahovec,Parashkollor,Meshkuj,-
2016/2017,Rahovec,Parashkollor,Femra,1
2016/2017,Rahovec,Parashkollor,Gjithsej,1
2016/2017,Rahovec,Fillor dhe i mesëm i ulët,Meshkuj,29
2016/2017,Rahovec,Fillor dhe i mesëm i ulët,Femra,3
2016/2017,Rahovec,Fillor dhe i mesëm i ulët,Gjithsej,32
2016/2017,Rahovec,I mesëm i lartë,Meshkuj,4
2016/2017,Rahovec,I mesëm i lartë,Femra,1
2016/2017,Rahovec,I mesëm i lartë,Gjithsej,5
2016/2017,Shtërpcë,Parashkollor,Meshkuj,-
2016/2017,Shtërpcë,Parashkollor,Femra,-
2016/2017,Shtërpcë,Parashkollor,Gjithsej,-
2016/2017,Shtërpcë,Fillor dhe i mesëm i ulët,Meshkuj,2
2016/2017,Shtërpcë,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Shtërpcë,Fillor dhe i mesëm i ulët,Gjithsej,2
2016/2017,Shtërpcë,I mesëm i lartë,Meshkuj,1
2016/2017,Shtërpcë,I mesëm i lartë,Femra,-
2016/2017,Shtërpcë,I mesëm i lartë,Gjithsej,1
2016/2017,Shtime,Parashkollor,Meshkuj,-
2016/2017,Shtime,Parashkollor,Femra,1
2016/2017,Shtime,Parashkollor,Gjithsej,1
2016/2017,Shtime,Fillor dhe i mesëm i ulët,Meshkuj,11
2016/2017,Shtime,Fillor dhe i mesëm i ulët,Femra,2
2016/2017,Shtime,Fillor dhe i mesëm i ulët,Gjithsej,13
2016/2017,Shtime,I mesëm i lartë,Meshkuj,2
2016/2017,Shtime,I mesëm i lartë,Femra,-
2016/2017,Shtime,I mesëm i lartë,Gjithsej,2
2016/2017,Skënderaj,Parashkollor,Meshkuj,-
2016/2017,Skënderaj,Parashkollor,Femra,3
2016/2017,Skënderaj,Parashkollor,Gjithsej,3
2016/2017,Skënderaj,Fillor dhe i mesëm i ulët,Meshkuj,43
2016/2017,Skënderaj,Fillor dhe i mesëm i ulët,Femra,4
2016/2017,Skënderaj,Fillor dhe i mesëm i ulët,Gjithsej,47
2016/2017,Skënderaj,I mesëm i lartë,Meshkuj,15
2016/2017,Skënderaj,I mesëm i lartë,Femra,2
2016/2017,Skënderaj,I mesëm i lartë,Gjithsej,17
2016/2017,Suharekë,Parashkollor,Meshkuj,-
2016/2017,Suharekë,Parashkollor,Femra,1
2016/2017,Suharekë,Parashkollor,Gjithsej,1
2016/2017,Suharekë,Fillor dhe i mesëm i ulët,Meshkuj,42
2016/2017,Suharekë,Fillor dhe i mesëm i ulët,Femra,9
2016/2017,Suharekë,Fillor dhe i mesëm i ulët,Gjithsej,51
2016/2017,Suharekë,I mesëm i lartë,Meshkuj,7
2016/2017,Suharekë,I mesëm i lartë,Femra,3
2016/2017,Suharekë,I mesëm i lartë,Gjithsej,10
2016/2017,Viti,Parashkollor,Meshkuj,-
2016/2017,Viti,Parashkollor,Femra,1
2016/2017,Viti,Parashkollor,Gjithsej,1
2016/2017,Viti,Fillor dhe i mesëm i ulët,Meshkuj,26
2016/2017,Viti,Fillor dhe i mesëm i ulët,Femra,4
2016/2017,Viti,Fillor dhe i mesëm i ulët,Gjithsej,30
2016/2017,Viti,I mesëm i lartë,Meshkuj,7
2016/2017,Viti,I mesëm i lartë,Femra,-
2016/2017,Viti,I mesëm i lartë,Gjithsej,7
2016/2017,Vushtrri,Parashkollor,Meshkuj,4
2016/2017,Vushtrri,Parashkollor,Femra,2
2016/2017,Vushtrri,Parashkollor,Gjithsej,6
2016/2017,Vushtrri,Fillor dhe i mesëm i ulët,Meshkuj,40
2016/2017,Vushtrri,Fillor dhe i mesëm i ulët,Femra,9
2016/2017,Vushtrri,Fillor dhe i mesëm i ulët,Gjithsej,49
2016/2017,Vushtrri,I mesëm i lartë,Meshkuj,13
2016/2017,Vushtrri,I mesëm i lartë,Femra,1
2016/2017,Vushtrri,I mesëm i lartë,Gjithsej,14
2016/2017,Zubin Potok,Parashkollor,Meshkuj,-
2016/2017,Zubin Potok,Parashkollor,Femra,-
2016/2017,Zubin Potok,Parashkollor,Gjithsej,-
2016/2017,Zubin Potok,Fillor dhe i mesëm i ulët,Meshkuj,1
2016/2017,Zubin Potok,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Zubin Potok,Fillor dhe i mesëm i ulët,Gjithsej,2
2016/2017,Zubin Potok,I mesëm i lartë,Meshkuj,-
2016/2017,Zubin Potok,I mesëm i lartë,Femra,-
2016/2017,Zubin Potok,I mesëm i lartë,Gjithsej,-
2016/2017,Zveçan,Parashkollor,Meshkuj,-
2016/2017,Zveçan,Parashkollor,Femra,-
2016/2017,Zveçan,Parashkollor,Gjithsej,-
2016/2017,Zveçan,Fillor dhe i mesëm i ulët,Meshkuj,1
2016/2017,Zveçan,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Zveçan,Fillor dhe i mesëm i ulët,Gjithsej,1
2016/2017,Zveçan,I mesëm i lartë,Meshkuj,-
2016/2017,Zveçan,I mesëm i lartë,Femra,-
2016/2017,Zveçan,I mesëm i lartë,Gjithsej,-
2016/2017,Kllokot,Parashkollor,Meshkuj,-
2016/2017,Kllokot,Parashkollor,Femra,-
2016/2017,Kllokot,Parashkollor,Gjithsej,-
2016/2017,Kllokot,Fillor dhe i mesëm i ulët,Meshkuj,1
2016/2017,Kllokot,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Kllokot,Fillor dhe i mesëm i ulët,Gjithsej,1
2016/2017,Kllokot,I mesëm i lartë,Meshkuj,-
2016/2017,Kllokot,I mesëm i lartë,Femra,-
2016/2017,Kllokot,I mesëm i lartë,Gjithsej,-
2016/2017,Gjithsej,Parashkollor,Meshkuj,15
2016/2017,Gjithsej,Parashkollor,Femra,77
2016/2017,Gjithsej,Parashkollor,Gjithsej,92
2016/2017,Gjithsej,Fillor dhe i mesëm i ulët,Meshkuj,935
2016/2017,Gjithsej,Fillor dhe i mesëm i ulët,Femra,292
2016/2017,Gjithsej,Fillor dhe i mesëm i ulët,Gjithsej,1227
2016/2017,Gjithsej,I mesëm i lartë,Meshkuj,274
2016/2017,Gjithsej,I mesëm i lartë,Femra,80
2016/2017,Gjithsej,I mesëm i lartë,Gjithsej,354
2017/2018,Deçan,Parashkollor,Meshkuj,-
2017/2018,Deçan,Parashkollor,Femra,-
2017/2018,Deçan,Parashkollor,Gjithsej,-
2017/2018,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,19
2017/2018,Deçan,Fillor dhe i mesëm i ulët,Femra,3
2017/2018,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,22
2017/2018,Deçan,I mesëm i lartë,Meshkuj,8
2017/2018,Deçan,I mesëm i lartë,Femra,1
2017/2018,Deçan,I mesëm i lartë,Gjithsej,9
2017/2018,Dragash,Parashkollor,Meshkuj,-
2017/2018,Dragash,Parashkollor,Femra,-
2017/2018,Dragash,Parashkollor,Gjithsej,-
2017/2018,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,17
2017/2018,Dragash,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,17
2017/2018,Dragash,I mesëm i lartë,Meshkuj,3
2017/2018,Dragash,I mesëm i lartë,Femra,-
2017/2018,Dragash,I mesëm i lartë,Gjithsej,3
2017/2018,Ferizaj,Parashkollor,Meshkuj,-
2017/2018,Ferizaj,Parashkollor,Femra,2
2017/2018,Ferizaj,Parashkollor,Gjithsej,2
2017/2018,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,68
2017/2018,Ferizaj,Fillor dhe i mesëm i ulët,Femra,32
2017/2018,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,100
2017/2018,Ferizaj,I mesëm i lartë,Meshkuj,32
2017/2018,Ferizaj,I mesëm i lartë,Femra,7
2017/2018,Ferizaj,I mesëm i lartë,Gjithsej,39
2017/2018,Fushë Kosovë,Parashkollor,Meshkuj,-
2017/2018,Fushë Kosovë,Parashkollor,Femra,3
2017/2018,Fushë Kosovë,Parashkollor,Gjithsej,3
2017/2018,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,12
2017/2018,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2017/2018,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,18
2017/2018,Fushë Kosovë,I mesëm i lartë,Meshkuj,4
2017/2018,Fushë Kosovë,I mesëm i lartë,Femra,-
2017/2018,Fushë Kosovë,I mesëm i lartë,Gjithsej,4
2017/2018,Gjakovë,Parashkollor,Meshkuj,1
2017/2018,Gjakovë,Parashkollor,Femra,4
2017/2018,Gjakovë,Parashkollor,Gjithsej,5
2017/2018,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,50
2017/2018,Gjakovë,Fillor dhe i mesëm i ulët,Femra,16
2017/2018,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,66
2017/2018,Gjakovë,I mesëm i lartë,Meshkuj,8
2017/2018,Gjakovë,I mesëm i lartë,Femra,3
2017/2018,Gjakovë,I mesëm i lartë,Gjithsej,11
2017/2018,Gjilan,Parashkollor,Meshkuj,1
2017/2018,Gjilan,Parashkollor,Femra,4
2017/2018,Gjilan,Parashkollor,Gjithsej,5
2017/2018,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,41
2017/2018,Gjilan,Fillor dhe i mesëm i ulët,Femra,12
2017/2018,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,53
2017/2018,Gjilan,I mesëm i lartë,Meshkuj,21
2017/2018,Gjilan,I mesëm i lartë,Femra,1
2017/2018,Gjilan,I mesëm i lartë,Gjithsej,22
2017/2018,Gllogovc,Parashkollor,Meshkuj,-
2017/2018,Gllogovc,Parashkollor,Femra,2
2017/2018,Gllogovc,Parashkollor,Gjithsej,2
2017/2018,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,43
2017/2018,Gllogovc,Fillor dhe i mesëm i ulët,Femra,8
2017/2018,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,51
2017/2018,Gllogovc,I mesëm i lartë,Meshkuj,6
2017/2018,Gllogovc,I mesëm i lartë,Femra,2
2017/2018,Gllogovc,I mesëm i lartë,Gjithsej,8
2017/2018,Hani i Elezit,Parashkollor,Meshkuj,-
2017/2018,Hani i Elezit,Parashkollor,Femra,-
2017/2018,Hani i Elezit,Parashkollor,Gjithsej,-
2017/2018,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,5
2017/2018,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,5
2017/2018,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2017/2018,Hani i Elezit,I mesëm i lartë,Femra,-
2017/2018,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2017/2018,Istog,Parashkollor,Meshkuj,-
2017/2018,Istog,Parashkollor,Femra,3
2017/2018,Istog,Parashkollor,Gjithsej,3
2017/2018,Istog,Fillor dhe i mesëm i ulët,Meshkuj,18
2017/2018,Istog,Fillor dhe i mesëm i ulët,Femra,5
2017/2018,Istog,Fillor dhe i mesëm i ulët,Gjithsej,23
2017/2018,Istog,I mesëm i lartë,Meshkuj,2
2017/2018,Istog,I mesëm i lartë,Femra,1
2017/2018,Istog,I mesëm i lartë,Gjithsej,3
2017/2018,Junik,Parashkollor,Meshkuj,-
2017/2018,Junik,Parashkollor,Femra,-
2017/2018,Junik,Parashkollor,Gjithsej,-
2017/2018,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2017/2018,Junik,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2017/2018,Junik,I mesëm i lartë,Meshkuj,1
2017/2018,Junik,I mesëm i lartë,Femra,-
2017/2018,Junik,I mesëm i lartë,Gjithsej,1
2017/2018,Kaçanik,Parashkollor,Meshkuj,-
2017/2018,Kaçanik,Parashkollor,Femra,-
2017/2018,Kaçanik,Parashkollor,Gjithsej,-
2017/2018,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,23
2017/2018,Kaçanik,Fillor dhe i mesëm i ulët,Femra,3
2017/2018,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,26
2017/2018,Kaçanik,I mesëm i lartë,Meshkuj,6
2017/2018,Kaçanik,I mesëm i lartë,Femra,-
2017/2018,Kaçanik,I mesëm i lartë,Gjithsej,6
2017/2018,Kamenicë,Parashkollor,Meshkuj,1
2017/2018,Kamenicë,Parashkollor,Femra,3
2017/2018,Kamenicë,Parashkollor,Gjithsej,4
2017/2018,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,18
2017/2018,Kamenicë,Fillor dhe i mesëm i ulët,Femra,8
2017/2018,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,26
2017/2018,Kamenicë,I mesëm i lartë,Meshkuj,4
2017/2018,Kamenicë,I mesëm i lartë,Femra,1
2017/2018,Kamenicë,I mesëm i lartë,Gjithsej,5
2017/2018,Klinë,Parashkollor,Meshkuj,-
2017/2018,Klinë,Parashkollor,Femra,1
2017/2018,Klinë,Parashkollor,Gjithsej,1
2017/2018,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,21
2017/2018,Klinë,Fillor dhe i mesëm i ulët,Femra,4
2017/2018,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,25
2017/2018,Klinë,I mesëm i lartë,Meshkuj,2
2017/2018,Klinë,I mesëm i lartë,Femra,1
2017/2018,Klinë,I mesëm i lartë,Gjithsej,3
2017/2018,Leposaviq,Parashkollor,Meshkuj,-
2017/2018,Leposaviq,Parashkollor,Femra,-
2017/2018,Leposaviq,Parashkollor,Gjithsej,-
2017/2018,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2017/2018,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2017/2018,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
2017/2018,Leposaviq,I mesëm i lartë,Meshkuj,-
2017/2018,Leposaviq,I mesëm i lartë,Femra,-
2017/2018,Leposaviq,I mesëm i lartë,Gjithsej,-
2017/2018,Lipjan,Parashkollor,Meshkuj,2
2017/2018,Lipjan,Parashkollor,Femra,-
2017/2018,Lipjan,Parashkollor,Gjithsej,2
2017/2018,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,37
2017/2018,Lipjan,Fillor dhe i mesëm i ulët,Femra,6
2017/2018,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,43
2017/2018,Lipjan,I mesëm i lartë,Meshkuj,6
2017/2018,Lipjan,I mesëm i lartë,Femra,1
2017/2018,Lipjan,I mesëm i lartë,Gjithsej,7
2017/2018,Malishevë,Parashkollor,Meshkuj,-
2017/2018,Malishevë,Parashkollor,Femra,-
2017/2018,Malishevë,Parashkollor,Gjithsej,-
2017/2018,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,35
2017/2018,Malishevë,Fillor dhe i mesëm i ulët,Femra,6
2017/2018,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,41
2017/2018,Malishevë,I mesëm i lartë,Meshkuj,12
2017/2018,Malishevë,I mesëm i lartë,Femra,4
2017/2018,Malishevë,I mesëm i lartë,Gjithsej,16
2017/2018,Mamushë,Parashkollor,Meshkuj,1
2017/2018,Mamushë,Parashkollor,Femra,-
2017/2018,Mamushë,Parashkollor,Gjithsej,1
2017/2018,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,1
2017/2018,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,1
2017/2018,Mamushë,I mesëm i lartë,Meshkuj,1
2017/2018,Mamushë,I mesëm i lartë,Femra,-
2017/2018,Mamushë,I mesëm i lartë,Gjithsej,1
2017/2018,Mitrovicë,Parashkollor,Meshkuj,1
2017/2018,Mitrovicë,Parashkollor,Femra,7
2017/2018,Mitrovicë,Parashkollor,Gjithsej,8
2017/2018,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,54
2017/2018,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,19
2017/2018,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,73
2017/2018,Mitrovicë,I mesëm i lartë,Meshkuj,20
2017/2018,Mitrovicë,I mesëm i lartë,Femra,8
2017/2018,Mitrovicë,I mesëm i lartë,Gjithsej,28
2017/2018,Novobërdë,Parashkollor,Meshkuj,-
2017/2018,Novobërdë,Parashkollor,Femra,-
2017/2018,Novobërdë,Parashkollor,Gjithsej,-
2017/2018,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2017/2018,Novobërdë,Fillor dhe i mesëm i ulët,Femra,1
2017/2018,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,5
2017/2018,Novobërdë,I mesëm i lartë,Meshkuj,1
2017/2018,Novobërdë,I mesëm i lartë,Femra,-
2017/2018,Novobërdë,I mesëm i lartë,Gjithsej,1
2017/2018,Obiliq,Parashkollor,Meshkuj,-
2017/2018,Obiliq,Parashkollor,Femra,2
2017/2018,Obiliq,Parashkollor,Gjithsej,2
2017/2018,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,17
2017/2018,Obiliq,Fillor dhe i mesëm i ulët,Femra,8
2017/2018,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,25
2017/2018,Obiliq,I mesëm i lartë,Meshkuj,3
2017/2018,Obiliq,I mesëm i lartë,Femra,-
2017/2018,Obiliq,I mesëm i lartë,Gjithsej,3
2017/2018,Pejë,Parashkollor,Meshkuj,-
2017/2018,Pejë,Parashkollor,Femra,9
2017/2018,Pejë,Parashkollor,Gjithsej,9
2017/2018,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,46
2017/2018,Pejë,Fillor dhe i mesëm i ulët,Femra,30
2017/2018,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,76
2017/2018,Pejë,I mesëm i lartë,Meshkuj,9
2017/2018,Pejë,I mesëm i lartë,Femra,5
2017/2018,Pejë,I mesëm i lartë,Gjithsej,14
2017/2018,Podujevë,Parashkollor,Meshkuj,-
2017/2018,Podujevë,Parashkollor,Femra,4
2017/2018,Podujevë,Parashkollor,Gjithsej,4
2017/2018,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,56
2017/2018,Podujevë,Fillor dhe i mesëm i ulët,Femra,20
2017/2018,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,76
2017/2018,Podujevë,I mesëm i lartë,Meshkuj,5
2017/2018,Podujevë,I mesëm i lartë,Femra,7
2017/2018,Podujevë,I mesëm i lartë,Gjithsej,12
2017/2018,Prishtinë,Parashkollor,Meshkuj,4
2017/2018,Prishtinë,Parashkollor,Femra,25
2017/2018,Prishtinë,Parashkollor,Gjithsej,29
2017/2018,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,50
2017/2018,Prishtinë,Fillor dhe i mesëm i ulët,Femra,66
2017/2018,Prishtinë,Fillor dhe i mesëm i ulët,Gjithsej,116
2017/2018,Prishtinë,I mesëm i lartë,Meshkuj,45
2017/2018,Prishtinë,I mesëm i lartë,Femra,19
2017/2018,Prishtinë,I mesëm i lartë,Gjithsej,64
2017/2018,Prizren,Parashkollor,Meshkuj,-
2017/2018,Prizren,Parashkollor,Femra,-
2017/2018,Prizren,Parashkollor,Gjithsej,-
2017/2018,Prizren,Fillor dhe i mesëm i ulët,Meshkuj,71
2017/2018,Prizren,Fillor dhe i mesëm i ulët,Femra,30
2017/2018,Prizren,Fillor dhe i mesëm i ulët,Gjithsej,101
2017/2018,Prizren,I mesëm i lartë,Meshkuj,21
2017/2018,Prizren,I mesëm i lartë,Femra,11
2017/2018,Prizren,I mesëm i lartë,Gjithsej,32
2017/2018,Rahovec,Parashkollor,Meshkuj,-
2017/2018,Rahovec,Parashkollor,Femra,1
2017/2018,Rahovec,Parashkollor,Gjithsej,1
2017/2018,Rahovec,Fillor dhe i mesëm i ulët,Meshkuj,27
2017/2018,Rahovec,Fillor dhe i mesëm i ulët,Femra,3
2017/2018,Rahovec,Fillor dhe i mesëm i ulët,Gjithsej,30
2017/2018,Rahovec,I mesëm i lartë,Meshkuj,4
2017/2018,Rahovec,I mesëm i lartë,Femra,1
2017/2018,Rahovec,I mesëm i lartë,Gjithsej,5
2017/2018,Shtërpcë,Parashkollor,Meshkuj,-
2017/2018,Shtërpcë,Parashkollor,Femra,-
2017/2018,Shtërpcë,Parashkollor,Gjithsej,-
2017/2018,Shtërpcë,Fillor dhe i mesëm i ulët,Meshkuj,2
2017/2018,Shtërpcë,Fillor dhe i mesëm i ulët,Femra,-
2017/2018,Shtërpcë,Fillor dhe i mesëm i ulët,Gjithsej,2
2017/2018,Shtërpcë,I mesëm i lartë,Meshkuj,1
2017/2018,Shtërpcë,I mesëm i lartë,Femra,-
2017/2018,Shtërpcë,I mesëm i lartë,Gjithsej,1
2017/2018,Shtime,Parashkollor,Meshkuj,-
2017/2018,Shtime,Parashkollor,Femra,1
2017/2018,Shtime,Parashkollor,Gjithsej,1
2017/2018,Shtime,Fillor dhe i mesëm i ulët,Meshkuj,11
2017/2018,Shtime,Fillor dhe i mesëm i ulët,Femra,3
2017/2018,Shtime,Fillor dhe i mesëm i ulët,Gjithsej,14
2017/2018,Shtime,I mesëm i lartë,Meshkuj,1
2017/2018,Shtime,I mesëm i lartë,Femra,-
2017/2018,Shtime,I mesëm i lartë,Gjithsej,1
2017/2018,Skënderaj,Parashkollor,Meshkuj,-
2017/2018,Skënderaj,Parashkollor,Femra,3
2017/2018,Skënderaj,Parashkollor,Gjithsej,3
2017/2018,Skënderaj,Fillor dhe i mesëm i ulët,Meshkuj,42
2017/2018,Skënderaj,Fillor dhe i mesëm i ulët,Femra,5
2017/2018,Skënderaj,Fillor dhe i mesëm i ulët,Gjithsej,47
